 Accidental Marriage,
 Becoming the Mask,
 Chain of Deals,
 Bring It On,
 Deal with the Devil,
 Enemy Mine,
 Doorstep Baby,
 15 Minutes of Fame,
 Impossible Mission,
 Gladiator Revolt,
 Humanity on Trial,
 Fish Out of Water,
 Jekyll & Hyde,
 Locked Room Mystery,
 Passing the Torch,
 X Marks the Spot,
 The Magic Comes Back,
 Train Job,
 Succession Crisis,
 Talking Your Way Out,
 Race Against the Clock,
 Visit by Divorced Dad,
 Unlocking the Talent,
 We Want Our Jerk Back,
 You Can Keep Her,
 Never Win the Lottery,
 Zany Scheme,
 Rags to Riches,
 Alien Among Us,
 There Can Be Only One
